#http://cp3.irmp.ucl.ac.be/~delaere/MLP/
#r        z       Br
21.5        44.5        0.4022937929838317
23.5        44.5        0.4320269477339936
1.5        46.5        0.030082352469828596
3.5        46.5        0.0694447486759674
5.5        46.5        0.1098115778492629
7.5        46.5        0.1409003076857538
9.5        46.5        0.1904098128781728
11.5        46.5        0.21560287694040575
13.5        46.5        0.250798698865057
15.5        46.5        0.2855695736470474
17.5        46.5        0.3169831277446133
19.5        46.5        0.3489419352810124
21.5        46.5        0.3506269902328665
23.5        46.5        0.37616325450079807
1.5        48.5        0.027200284103443682
3.5        48.5        0.06109122499704588
5.5        48.5        0.09561787224676531
7.5        48.5        0.13215916385749796
9.5        48.5        0.1663816358211741
11.5        48.5        0.2006507459870769
13.5        48.5        0.2181398253489041
15.5        48.5        0.24752991682291006
17.5        48.5        0.2772086557728228
19.5        48.5        0.30456580909891745
21.5        48.5        0.3310189535844351
23.5        48.5        0.35625068654951253
1.5        50.5        0.02479137029450502
3.5        50.5        0.05698802170789684
5.5        50.5        0.08948025197064434
7.5        50.5        0.12214372631943027
9.5        50.5        0.14571258691856295
11.5        50.5        0.17465409721084668
13.5        50.5        0.20505094945423438
15.5        50.5        0.2329878350780017
17.5        50.5        0.26051083746615433
19.5        50.5        0.28732692739742083
21.5        50.5        0.28897720224544166
23.5        50.5        0.3109045514872831
1.5        52.5        0.022448327811353693
3.5        52.5        0.0524511351712659
5.5        52.5        0.07930679774035827
7.5        52.5        0.10712206254434363
9.5        52.5        0.13516854657404823
11.5        52.5        0.16428094493555948
13.5        52.5        0.19175128422160884
15.5        52.5        0.2189844067679709
17.5        52.5        0.22795184035841057
19.5        52.5        0.2511075297555504
21.5        52.5        0.2721711548282625
23.5        52.5        0.2930968644656173
1.5        54.5        0.020595128858306833
3.5        54.5        0.04634144852184559
5.5        54.5        0.07292738727782548
7.5        54.5        0.10055059470528961
9.5        54.5        0.12708929276905515
11.5        54.5        0.15368903402293418
13.5        54.5        0.1683446029727911
15.5        54.5        0.19176125269231376
